movie_title,username,rating,review_text,processed_text,reference_label,label_annotator_a,label_annotator_b,final_label,label_notes
Avatar 3: Lửa Và Tro Tàn,Lan Anh,10,xịn quá nà,xịn quá nà,4,2,2,2,full_agreement
Avatar 3: Lửa Và Tro Tàn,Joseph Guse,8,Absolutely awful service. The moive was absolutely horrific at 4 hours as well.,absolutely awful service. the moive was absolutely horrific at 4 hours as well.,3,2,2,2,full_agreement
Avatar 3: Lửa Và Tro Tàn,Nguyễn Thị Hân,10,Mình sẽ đi xem lại lần 2.....,mình sẽ đi xem lại lần 2.....,4,2,2,2,full_agreement
Avatar 3: Lửa Và Tro Tàn,DAO THANH TUNG,9,Phim không hay gì cả =)),phim không hay gì cả,4,2,2,2,full_agreement
Avatar 3: Lửa Và Tro Tàn,liamchau,9,"Âm thanh tốt a, không khí mát. Nhân viên rất chu đáo.","âm thanh tốt a, không khí mát. nhân viên rất chu đáo.",4,2,2,2,full_agreement
Nhà Hai Chủ,nguoidungfb,1,"Đã Xem - Đánh giá 1* .. Phim khá xàm , so sánh với phim youtube có khi còn dở hơn phim Youtube 🥴","đã xem - đánh giá 1 .. phim khá xàm , so sánh với phim youtube có khi còn dở hơn phim youtube",0,0,0,0,full_agreement
Nhà Hai Chủ,nhinhiphanhi,1,"Bỏ ra hơn 150k tiền vé bắp nước đổi lại chẳng được gì
Khúc đầu thì coi cũng được được.... khúc sau không hiểu phim nói về vấn đề gì luôn và cái ý nghĩa nói ra sao??...... nó xàm dỡ tệ thì thôi luôn",bỏ ra hơn 150k tiền vé bắp nước đổi lại chẳng được gì khúc đầu thì coi cũng được được.... khúc sau không hiểu phim nói về vấn đề gì luôn và cái ý nghĩa nói ra sao??...... nó xàm dỡ tệ thì thôi luôn,0,0,0,0,full_agreement
Nhà Hai Chủ,Lê Quân,1,phim ko hay,phim ko hay,0,0,0,0,full_agreement
Nhà Hai Chủ,thiendat123,5,phim xàm dở thà coi phim ở nhà ngon hơn,phim xàm dở thà coi phim ở nhà ngon hơn,2,1,1,1,full_agreement
Zootopia: Phi Vụ Động Trời 2,Khúc Thị Ngọc Hà,10,"phim siu hay ạ, mê nhất love u partner;)))","phim siu hay ạ, mê nhất love u partner;",4,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,Lê Nguyễn Thanh Nhung,10,"Dễ thương, hay, gay cấn","dễ thương, hay, gay cấn",4,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,Đào Thị Huyền Trang,10,Phim hay lắmm,phim hay lắmm,4,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,ericxu,9,"Cũng oke á, mà kết này thấy cũng tròn r hehe","cũng oke á, mà kết này thấy cũng tròn r hehe",4,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,Hoàng công lập,8,"Hay , kết mở","hay , kết mở",3,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,Hoàng Ngọc Lương,10,Hay lắm luôn á tr,hay lắm luôn á tr,4,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,Đào Anh Dũng,9,Vân bảo hay,vân bảo hay,4,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,Ngô Phước Ninh,10,"Bộ phim rất hay và ý nghĩa, còn lại các phục vụ của Rạp Cinemar Đông Hà thì thiếu chuyên nghiệp.","bộ phim rất hay và ý nghĩa, còn lại các phục vụ của rạp cinemar đông hà thì thiếu chuyên nghiệp.",4,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,ThuAn139,10,Phim hay ý nghĩ và vui. Đúng đặc điểm với các loài động vật,phim hay ý nghĩ và vui. đúng đặc điểm với các loài động vật,4,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,Nguyễn Hương Trà,10,ok hayyyy lắm djiazjsj,ok hayyyy lắm djiazjsj,4,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,BroABC91,10,"Trời ơi, phim siêu hay, hài hước, anh cáo và cô cộng sự đáng yêu vô cùng","trời ơi, phim siêu hay, hài hước, anh cáo và cô cộng sự đáng yêu vô cùng",4,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,Vũ Thị Thanh Nga,10,Hài. Hay. Vui,hài. hay. vui,4,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,Nguyễn Huy Hoàng Phúc,10,Phim khá hay!,phim khá hay!,4,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,Pham Thi Hong Lien,8,"Bộ phim hài hước, xen lẫn những pha rượt bắt hồi hộp, gay cấn, nội dung đề cao chính nghĩa, cái đúng. Tổng quan xem được.","bộ phim hài hước, xen lẫn những pha rượt bắt hồi hộp, gay cấn, nội dung đề cao chính nghĩa, cái đúng. tổng quan xem được.",3,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,Mai Quốc Khánh,9,"phim hay , nma bạn bên cạnh kh cho thơm má","phim hay , nma bạn bên cạnh kh cho thơm má",4,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,Lê Khánh Ngọc,10,"Phim rất hay. Nhiều yếu tố hài hước hơn phần 1, chemistry giữa 2 nhân vật chính cũng nhiều hơn","phim rất hay. nhiều yếu tố hài hước hơn phần 1, chemistry giữa 2 nhân vật chính cũng nhiều hơn",4,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,Nguyễn Như Quỳnh,9,Phim có nhiều joke động vật khá thú vị,phim có nhiều joke động vật khá thú vị,4,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,Lê Phương Tường Vi,10,"Hay,rất đáng xem","hay,rất đáng xem",4,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,tthuhhuym,10,"phim siêu hayy, tiếng nghe đã tai lắm thỉnh thoảng hơi to hơi giật mình tị thoi, giá rẻ mà chất lượng vượt xa, nick và judy mãi keooooo 🫶🫶🫶🫶🫶 vô cùng rcm","phim siêu hayy, tiếng nghe đã tai lắm thỉnh thoảng hơi to hơi giật mình tị thoi, giá rẻ mà chất lượng vượt xa, nick và judy mãi keooooo vô cùng rcm",4,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,PHẠM THỊ LINH,9,"Phim cực hài, cực đáng yêu luônnnn😆🥰","phim cực hài, cực đáng yêu luônnnn",4,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,Nguyễn Ngọc Bảo Uyên,10,"10 điểm nha, hay, hài,hấp dẫn yêu Judy và Nick","10 điểm nha, hay, hài,hấp dẫn yêu judy và nick",4,2,2,2,full_agreement
Zootopia: Phi Vụ Động Trời 2,Nguyễn Hoàng Trọng Sơn,10,Cặp cộng sự thỏ & chó lông cam siu peak luôn,cặp cộng sự thỏ chó lông cam siu peak luôn,4,2,2,2,full_agreement
Kumanthong Nhật Bản: Vong Nhi Cúp Bế,Lynhem672,8,"Cái kết chưa rõ không biết phải còn phần 2 không 
Theo mình thì chỉ xoay quanh 1 con búp bê làm từ xương của 1 đứa bé nặn nên và ám theo gdd ddos , cần tình thương , nhưng đoạn kết lại là đứa bé đó rất hận mẹ nó nên có thể là phần 2 gây gấn hơn nếu có , cũng nên xem nha , hy vọng có phần 2","cái kết chưa rõ không biết phải còn phần 2 không theo mình thì chỉ xoay quanh 1 con búp bê làm từ xương của 1 đứa bé nặn nên và ám theo gdd ddos , cần tình thương , nhưng đoạn kết lại là đứa bé đó rất hận mẹ nó nên có thể là phần 2 gây gấn hơn nếu có , cũng nên xem nha , hy vọng có phần 2",3,2,2,2,full_agreement
Kumanthong Nhật Bản: Vong Nhi Cúp Bế,Cao Như Thanh Vân,10,phim hay tâm lý,phim hay tâm lý,4,2,2,2,full_agreement
Em Sẽ Khử Anh,ericxu,9,"I mean duh... phim flop 

Nhưng thật sự phim mang lại 1 trải nghiệm hết sức độc đáo khi lôi khán giả cuốn vào 1 cuộc tình ""hóa điên"" của đôi vợ chồng khi vợ bị trầm cảm sau sinh, dù nhịp chậm và có thể khó hiểu nhưng bộ phim thật sự giống như 1 bộ xếp hình, để khán giả phải xếp từ đầu đến cuối mới hiểu hết được bộ phim hihi. Nói chung là đáng xem á, siêu đỉnh ạ.","i mean duh... phim flop nhưng thật sự phim mang lại 1 trải nghiệm hết sức độc đáo khi lôi khán giả cuốn vào 1 cuộc tình ""hoá điên"" của đôi vợ chồng khi vợ bị trầm cảm sau sinh, dù nhịp chậm và có thể khó hiểu nhưng bộ phim thật sự giống như 1 bộ xếp hình, để khán giả phải xếp từ đầu đến cuối mới hiểu hết được bộ phim hihi. nói chung là đáng xem á, siêu đỉnh ạ.",4,2,2,2,full_agreement
Avatar 3: Lửa Và Tro Tàn,Le Van,10,"Kĩ xảo tuyệt đẹp, diễn xuất tuyệt vời","kĩ xảo tuyệt đẹp, diễn xuất tuyệt vời",4,2,2,2,full_agreement
Avatar 3: Lửa Và Tro Tàn,Nguyễn Thành Đạt,10,Hay nha mặc dù mình chưa xem phần 1 với 2,hay nha mặc dù mình chưa xem phần 1 với 2,4,2,2,2,full_agreement
Thai Chiêu Tài,Tanthanh123,4,Dở đến đau lòng,dở đến đau lòng,1,0,0,0,full_agreement
Thai Chiêu Tài,Thiên Bi,1,"Danh nghĩa của người vừa xem tối qua thì khuyên thật mọi người để tiền đi ăn còn xứng đáng hơn,phim rất lãng chiếu đi chiếu lại 1cảnh quay 2 3lần coi rất mất thời gian,phim rất vô duyên và rất nhìu cảnh nhạy cảm!","danh nghĩa của người vừa xem tối qua thì khuyên thật mọi người để tiền đi ăn còn xứng đáng hơn,phim rất lãng chiếu đi chiếu lại 1cảnh quay 2 3lần coi rất mất thời gian,phim rất vô duyên và rất nhìu cảnh nhạy cảm!",0,0,0,0,full_agreement
Trái Tim Què Quặt,ericxu,7,"Bị bất ngờ vì đã đánh giá thấp phim qua poster, trong khi phim có nội dung logic và cuốn, dù không phải phim đại chúng nhưng đây cũng sẽ là 1 sự lựa chọn không tệ (chống chỉ định cho các cặp đôi đang cãi nhau)","bị bất ngờ vì đã đánh giá thấp phim qua poster, trong khi phim có nội dung logic và cuốn, dù không phải phim đại chúng nhưng đây cũng sẽ là 1 sự lựa chọn không tệ chống chỉ định cho các cặp đôi đang cãi nhau",3,2,2,2,full_agreement
Quái Thú Vô Hình: Vùng Đất Chết Chóc,Leo86,7,"Nửa phim đầu xem dài lê thê hơi mệt nửa sau ổn hơn, xem được. Nhưng so với những phần từ thời xưa vừa hay vừa sợ vừa ấn tượng thì lần này không còn cảm giác như vậy. Đánh giá chung là tạm.","nửa phim đầu xem dài lê thê hơi mệt nửa sau ổn hơn, xem được. nhưng so với những phần từ thời xưa vừa hay vừa sợ vừa ấn tượng thì lần này không còn cảm giác như vậy. đánh giá chung là tạm.",3,2,2,2,full_agreement
Núi Tế Vong,Nguyễn Thành Trung,9,"Hấp dẫn , lý kì , ám ảnh","hấp dẫn , lý kì , ám ảnh",4,2,2,2,full_agreement
Sư Thầy Gặp Sư Lầy,NGUYỄN THỊ KIM LIÊN,7,"cũng được, ko vui như review, cốt truyện bình thường","cũng được, ko vui như review, cốt truyện bình thường",3,1,2,2,resolved_by_rating
Truy Tìm Long Diên Hương,Lê Minh Hoàng,10,Tuyệt vời. 10 điểm cả về kịch bản lẫn hành động. Không có gì để chê.,tuyệt vời. 10 điểm cả về kịch bản lẫn hành động. không có gì để chê.,4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Nguyễn Bảo Khang,9,Phim hay ạ,phim hay ạ,4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Anhv4,8,"Phim xem được, thuần giải trí, xem xong thấy thoải mái, xả stress","phim xem được, thuần giải trí, xem xong thấy thoải mái, xả stress",3,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Nguyễn Văn Phi,10,Phim hạnh động của Action C thì còn gì bằng,phim hạnh động của action c thì còn gì bằng,4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Nguyễn Thị Anh Đào,10,"Phim hay , vui , câu chuyện nhẹ nhàng dễ thương","phim hay , vui , câu chuyện nhẹ nhàng dễ thương",4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Võ Hoàng Thịnh,7,"Cảnh hành động thì cũng tạm ổn. Nhưng mà cốt truyện của phim quá mờ nhạt, diễn biến quá đơn giản dễ dàng đoán trước được, ko có gì bất ngờ, bộ phim theo kiểu ""hào quang nhân vật chính"" nhân vật Tâm đc buff quá mạnh tay. Nên đầu tư 1 cốt truyện hay hơn.","cảnh hành động thì cũng tạm ổn. nhưng mà cốt truyện của phim quá mờ nhạt, diễn biến quá đơn giản dễ dàng đoán trước được, ko có gì bất ngờ, bộ phim theo kiểu ""hào quang nhân vật chính"" nhân vật tâm đc buff quá mạnh tay. nên đầu tư 1 cốt truyện hay hơn.",3,2,1,2,resolved_by_rating
Truy Tìm Long Diên Hương,Lynhem672,10,"Hay nha. , cười bể bụng , nên xem nha","hay nha. , cười bể bụng , nên xem nha",4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Trần kim Phượng,9,"Hấp dẫn, Vui nhộn, căng thẳng","hấp dẫn, vui nhộn, căng thẳng",4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Sanghanh,10,Nên coi nha mn hài lắm,nên coi nha mn hài lắm,4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Ngockhanh123,10,Hay lắm rất rất rất đáng xem,hay lắm rất rất rất đáng xem,4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Trần Phạm Khánh Băng,10,"Phim hay lắm. Phim Hành động nhìn rất mượt, các cảnh võ thuật rất hay. Và cũng nhiều phiên đoạn hài lắm","phim hay lắm. phim hành động nhìn rất mượt, các cảnh võ thuật rất hay. và cũng nhiều phiên đoạn hài lắm",4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Lê Đăng Khoa,10,"Fantastic 
Wonderful
Significant
Magnificent 
Outstanding 
Clash of titan
This is world class !!!",fantastic wonderful significant magnificent outstanding clash of titan this is world class !!!,4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Phí Huyền Trang,10,phim coi zui,phim coi zui,4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Đoàn Hoàng Văn,10,Phim rất hay,phim rất hay,4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Cao Hạnh Duyên,10,"Phim ý nghĩa, hài hước cả rạp cười muốn xỉu :)))))","phim ý nghĩa, hài hước cả rạp cười muốn xỉu :",4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Thành Phát,10,quá hay phim 10₫ lần đầu coi phim mà k bấm dt,quá hay phim 10 lần đầu coi phim mà k bấm dt,4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,linhxinhgai,10,"Mình thấy rất xứng đáng khi đi xem một bộ phim hành động lẫn hài mãn nhãn. Đối với cá nhân mình thì nội dung tạm ổn, chủ yếu mình đánh giá cao hành động chân thật, yếu tố hài đời thường ko nhảm. Mn nên mua vé vào rạp xem nhé, lần đầu tiên mình đánh giá phim ngay sau khi xem","mình thấy rất xứng đáng khi đi xem một bộ phim hành động lẫn hài mãn nhãn. đối với cá nhân mình thì nội dung tạm ổn, chủ yếu mình đánh giá cao hành động chân thật, yếu tố hài đời thường ko nhảm. mn nên mua vé vào rạp xem nhé, lần đầu tiên mình đánh giá phim ngay sau khi xem",4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Hoàng Bá Dũng,8,"Hay , dễ xem","hay , dễ xem",3,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Lyngoc,5,"⭐ Đánh giá phim Truy Tìm Long Diên Hương
* Về mặt hình ảnh
1. Đầu tư tốt về hình ảnh
Phim có nhiều khung hình được xử lý đẹp, màu sắc chỉnh chu, góc quay đa dạng cho thấy ê-kíp đã đầu tư khá nghiêm túc ở phần visual.
2. Tôn vinh đội ngũ diễn viên đóng thế
Các cảnh hành động được thực hiện tốt và giúp những cascadeur – vốn ít được khán giả biết đến – có nhiều đất để thể hiện hơn.
* Về mặt nội dung
1. Nhiều tình tiết thiếu hợp lý
Một số chi tiết không sát với thực tế, gây cảm giác “phi logic”, ví dụ:
Nhân vật bị lừa tới hai lần dù cùng kiểu tình huống.
Xe bị cháy nhưng thay vì xử lý bằng cách đổ cát vào nhà/xe thì thằng em nhà ở vào lửa.
Bản thân bị cháy nhưng ko ngã vào cát để lăn, dẫn đến cảm giác chưa hợp lý về cách hợp lí.
Dùng thanh chắn để làm xe ngã cũng không quá thuyết phục.
Thằng em vừa rất ngu vừa còn ko nhận ra lỗi mình, kêu anh mình thiên vị ng ngoài, bán đồ gì đâu vào tận huyệt của ng ta để mà trả giá. 
Có ai đi đánh nhau biết rõ bên kia có dao với gậy mà xách cái thân ko. Gặp giang hồ còn đứng đó nói đạo lý.
Không ai lén mở cốp để lấy trộm lòng diên hương ở trong xe. Tất cả lại lao vào đánh nhau, xong còn thêm mấy cảnh slow-motion kéo dài nhìn rất “trưng trổ” hơn là hợp lý.
2. Cách giải thích cuối phim chưa ổn
Nhân vật bán cả đồ thờ – thứ kiêng kỵ – nhưng vẫn được “giải bày” như đúng.
Anh em phản bội nhau tới hai lần, thiếu chiều sâu lý giải.
Đi bán hàng mà không có kiến thức, thiếu kỹ năng đến mức gây nguy hiểm 
Thái độ hỗn với ba, đi chơi gái, đánh bài dẫn đến bị lừa, gây nợ nhưng lại được biện minh bằng lỗi người khác – phần này còn gây tranh cãi nhiều.
Không ai lén mở cốp để lấy trộm lòng diên hương. Tất cả lại lao vào đánh nhau, xong còn thêm mấy cảnh slow-motion kéo dài nhìn rất “trưng trổ” hơn là hợp lý.
3. Tính cách người dân quá “ba phải”
Một số nhân vật phụ thay đổi thái độ quá nhanh, chưa thuyết phục.
4. Nhiều cảnh slow-motion thừa
Làm chậm nhịp phim, khiến mạch hành động đôi lúc bị kéo dài không cần thiết.
* Kết luận: 
Nếu bạn chỉ cần một bộ phim đậm chất giải trí, xem cho vui, không soi logic nhiều thì Truy Tìm Long Diên Hương vẫn là lựa chọn ổn nhờ phần hình ảnh đẹp và các pha hành động mãn nhãn. So với những phim nông cạn như Cù lao xác sống hay cởi thường khán giả như phim của Thùy Tiên đóng dùng công nghệ AI thì phim này còn tốt chán. 
Nhưng nếu bạn là người quan tâm tính hợp lý và chiều sâu, thì phim này sẽ còn nhiều điểm khiến bạn “cấn”.","đánh giá phim truy tìm long diên hương về mặt hình ảnh 1. đầu tư tốt về hình ảnh phim có nhiều khung hình được xử lý đẹp, màu sắc chỉnh chu, góc quay đa dạng cho thấy ê-kíp đã đầu tư khá nghiêm túc ở phần visual. 2. tôn vinh đội ngũ diễn viên đóng thế các cảnh hành động được thực hiện tốt và giúp những cascadeur vốn ít được khán giả biết đến có nhiều đất để thể hiện hơn. về mặt nội dung 1. nhiều tình tiết thiếu hợp lý một số chi tiết không sát với thực tế, gây cảm giác phi logic , ví dụ: nhân vật bị lừa tới hai lần dù cùng kiểu tình huống. xe bị cháy nhưng thay vì xử lý bằng cách đổ cát vào nhà xe thì thằng em nhà ở vào lửa. bản thân bị cháy nhưng ko ngã vào cát để lăn, dẫn đến cảm giác chưa hợp lý về cách hợp lí. dùng thanh chắn để làm xe ngã cũng không quá thuyết phục. thằng em vừa rất ngu vừa còn ko nhận ra lỗi mình, kêu anh mình thiên vị ng ngoài, bán đồ gì đâu vào tận huyệt của ng ta để mà trả giá. có ai đi đánh nhau biết rõ bên kia có dao với gậy mà xách cái thân ko. gặp giang hồ còn đứng đó nói đạo lý. không ai lén mở cốp để lấy trộm lòng diên hương ở trong xe. tất cả lại lao vào đánh nhau, xong còn thêm mấy cảnh slow-motion kéo dài nhìn rất trưng trổ hơn là hợp lý. 2. cách giải thích cuối phim chưa ổn nhân vật bán cả đồ thờ thứ kiêng kỵ nhưng vẫn được giải bày như đúng. anh em phản bội nhau tới hai lần, thiếu chiều sâu lý giải. đi bán hàng mà không có kiến thức, thiếu kỹ năng đến mức gây nguy hiểm thái độ hỗn với ba, đi chơi gái, đánh bài dẫn đến bị lừa, gây nợ nhưng lại được biện minh bằng lỗi người khác phần này còn gây tranh cãi nhiều. không ai lén mở cốp để lấy trộm lòng diên hương. tất cả lại lao vào đánh nhau, xong còn thêm mấy cảnh slow-motion kéo dài nhìn rất trưng trổ hơn là hợp lý. 3. tính cách người dân quá ba phải một số nhân vật phụ thay đổi thái độ quá nhanh, chưa thuyết phục. 4. nhiều cảnh slow-motion thừa làm chậm nhịp phim, khiến mạch hành động đôi lúc bị kéo dài không cần thiết. kết luận: nếu bạn chỉ cần một bộ phim đậm chất giải trí, xem cho vui, không soi logic nhiều thì truy tìm long diên hương vẫn là lựa chọn ổn nhờ phần hình ảnh đẹp và các pha hành động mãn nhãn. so với những phim nông cạn như cù lao xác sống hay cởi thường khán giả như phim của thuỳ tiên đóng dùng công nghệ ai thì phim này còn tốt chán. nhưng nếu bạn là người quan tâm tính hợp lý và chiều sâu, thì phim này sẽ còn nhiều điểm khiến bạn cấn .",2,1,1,1,full_agreement
Truy Tìm Long Diên Hương,pvan vu,10,phim quá chài hay á,phim quá chài hay á,4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Phạm Quang Điệp,10,Phim đáng xem,phim đáng xem,4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Huỳnh Minh Tuấn,10,ko có j bàn,ko có j bàn,4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Trần Chu Ni,10,Phim hay cực,phim hay cực,4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Nguyễn Thị Thanh Thảo,10,"Phim hay, hài, đáng xem, hayy, diễn viên diễn hay, phim màu đẹp, hài, cười điên
10 saoo","phim hay, hài, đáng xem, hayy, diễn viên diễn hay, phim màu đẹp, hài, cười điên 10 saoo",4,2,2,2,full_agreement
Truy Tìm Long Diên Hương,Nguyễn Đình Nhựt,1,"Phim hay, hành động đẹp mắt, nhân văn kèm theo nhiều tình tiết hài hước, đáng xem!","phim hay, hành động đẹp mắt, nhân văn kèm theo nhiều tình tiết hài hước, đáng xem!",0,0,0,0,full_agreement
Truy Tìm Long Diên Hương,Nguyễn Đặng Thị Diễm Phúc,9,"Phim hay, hài, kịch tính, rất thích cảnh cuối lễ hội nghinh ông trên biển đẹp","phim hay, hài, kịch tính, rất thích cảnh cuối lễ hội nghinh ông trên biển đẹp",4,2,2,2,full_agreement
